"honest","persona_GPT3.5","shape_GPT3.5","shape_GPT4","persona_LLaMA3","shape_LLaMA3"
"1",-0.212710717474169,0.164378048043518,-0.17890925449296,0.367311187752456,0.389195202734201,0.171957216415056
"2",0.176643161060746,0.250072849877302,0.126081594104865,-0.145788685772341,-0.0670820790943768,0.239342846603173
"3",0.452353439164432,0.583228877267527,0.732772022449003,0.587398942117874,0.633209872993321,0.83331644171245
"4",0.41747720780952,0.423041223761867,0.598396355411609,0.430254663603837,0.307783014903997,0.648283933903647
"5",0.0421335426438079,0.265002201200625,0.431610186102888,0.178766839515609,0.25895307229417,0.615613815759429
"6",-0.557248694243986,-0.0381083429765674,-0.904885076064861,-0.844580647457421,0.175785775564037,-0.771204400120231
"7",-0.51167164873122,0.0749377002870024,-0.62725784882394,-0.220664983706882,0.42612316756356,-0.213670964176092
"8",-0.201527763520452,-0.207266538995931,-0.616440590121194,-0.348951286954215,0.294110587253579,-0.371290616258182
"9",0.0285271267541285,0.204209054293454,-0.6432068273335,-0.203616292070982,0.587012305686965,-0.183838802632016
"10",0.429154351860645,0.612175966472134,0.684421542456089,0.540187006135208,0.432660425719655,0.518594706229926
"11",0.441057926477328,0.715555142059311,0.640866466201084,0.625731833172569,0.532366282545343,0.583809935991538
"12",0.0433660821262816,0.340097381645768,0.761387320108723,0.571335519000504,0.190126354647371,0.730272368272313
"13",0.256051305234889,0.562469303478908,0.69940840968118,0.46639720345506,0.430097432908607,0.53775026934154
"14",0.00189795190712481,0.192381286756979,0.677591358794949,0.58805571213735,0.509448106879094,0.713682172551115
"15",0.00957739007100538,-0.00496704954500843,0.572842012827364,0.441982596893638,0.331455259033449,0.425570531034177
