"normal_human.mean","old_people.mean","persona_GPT3.5.mean","shape_GPT3.5.mean","persona_GPT4.mean","shape_GPT4.mean","persona_LLaMA3.mean","shape_LLaMA3.mean","normal_human.sd","old_people.sd","persona_GPT3.5.sd","shape_GPT3.5.sd","persona_GPT4.sd","shape_GPT4.sd","persona_LLaMA3.sd","shape_LLaMA3.sd"
"1",3.02501603592046,3.64516129032258,2.85953177257525,2.61,3.13666666666667,2.87,2.77333333333333,2.44781144781145,1.39870295101768,1.23757925515836,0.90505725735325,1.13822310619003,0.647600837738046,1.08181997030954,1.30932680329051,1.37231442579566
"2",4.33867864015394,4.50806451612903,4.12040133779264,3.53333333333333,3.19333333333333,3.21666666666667,3.87,3.17171717171717,0.898285943735575,0.801380594719168,0.911642723788837,1.17195013229981,0.506765817910895,1.21158933552121,1.11530849699904,1.43583766896882
"3",2.38037203335471,1.87096774193548,2.53846153846154,2.71333333333333,2.97333333333333,2.84333333333333,2.23333333333333,2.69023569023569,1.35616298380856,1.16149428520364,0.597274829964426,1.11443353138495,0.269935373577796,1.01433977187046,0.946153392971948,1.46063398339613
"4",3.44259140474663,3.95161290322581,3.44816053511706,3.24666666666667,3.01,3.02333333333333,3.06,2.67676767676768,1.30285849716043,1.08091228188645,0.831321597399628,1.15915242167621,0.387816113374164,1.21147891414597,1.16084388632929,1.38643244415115
"5",2.3181526619628,2.15322580645161,3,2.99666666666667,2.51666666666667,2.86333333333333,2.19666666666667,3.07744107744108,1.32571008890981,1.30068371538153,0.579284446363492,0.840044326483477,0.67669437202674,0.949206087322236,1.31036090750422,1.31931961275661
"6",2.95638229634381,3.20161290322581,3.19732441471572,3.22333333333333,3.02666666666667,3.12666666666667,3.07,2.80808080808081,1.38185425372253,1.28771454892261,0.64339144287466,1.03134270807228,0.269935373577796,1.02017551553505,1.17886913670329,1.36814705782177
"7",4.61642078255292,4.63709677419355,4.91973244147157,4.47666666666667,3.33666666666667,3.72,4.43,3.62289562289562,0.612566114933504,0.575017531289545,0.409917239131642,1.03909638301726,0.651719276688653,1.28599349306832,0.917189979335786,1.42345733207244
"8",2.37524053880693,1.73387096774194,2.22742474916388,2.66666666666667,2.63666666666667,2.74333333333333,1.76666666666667,2.56228956228956,1.3123987300739,1.09030368684912,0.696431742047799,1.17195013229981,0.739240925573228,1.28697704795466,1.04043126295397,1.49672801142851
"9",3.56446440025657,4.04032258064516,3.88294314381271,3.44,3.13,3.17,3.70666666666667,3.07744107744108,1.24302194187943,0.991009943493936,0.946386646501307,1.47432882524552,0.44016567267109,1.28058567286685,0.981750989596718,1.53695343528223
"10",4.42591404746632,4.5241935483871,4.21404682274247,3.78666666666667,3.36333333333333,3.24666666666667,3.71,3.15151515151515,0.810391857734509,0.801053266779557,0.851963786262237,1.0793697322753,0.599321429737581,1.34605414505769,1.11506857476184,1.55113495738432
